Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1849,1,-0.447,1.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,2,-0.562,1.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,3,-0.169,1.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1849,4,-1.173,0.93,-0.766,0.515,NaN,NaN,NaN,NaN,NaN,NaN
1849,5,-1.066,0.833,-0.731,0.582,NaN,NaN,NaN,NaN,NaN,NaN
1849,6,-0.673,0.876,-0.651,0.448,NaN,NaN,NaN,NaN,NaN,NaN
1849,7,-0.545,1.585,-0.687,0.438,NaN,NaN,NaN,NaN,NaN,NaN
1849,8,-0.618,0.834,-0.655,0.446,NaN,NaN,NaN,NaN,NaN,NaN
1849,9,-0.942,0.71,-0.663,0.436,NaN,NaN,NaN,NaN,NaN,NaN
1849,10,-0.497,0.846,-0.634,0.515,NaN,NaN,NaN,NaN,NaN,NaN
1849,11,-0.497,1.699,-0.631,0.511,NaN,NaN,NaN,NaN,NaN,NaN
1849,12,-0.627,2.376,-0.611,0.466,NaN,NaN,NaN,NaN,NaN,NaN
1850,1,-0.876,1.486,-0.611,0.408,NaN,NaN,NaN,NaN,NaN,NaN
1850,2,-0.179,1.696,-0.595,0.357,NaN,NaN,NaN,NaN,NaN,NaN
1850,3,-0.266,1.287,-0.568,0.326,NaN,NaN,NaN,NaN,NaN,NaN
1850,4,-0.827,1.104,-0.62,0.307,NaN,NaN,NaN,NaN,NaN,NaN
1850,5,-1.03,1.141,-0.659,0.277,NaN,NaN,NaN,NaN,NaN,NaN
1850,6,-0.429,0.766,-0.626,0.273,NaN,NaN,NaN,NaN,NaN,NaN
1850,7,-0.546,1.528,-0.567,0.315,NaN,NaN,NaN,NaN,NaN,NaN
1850,8,-0.426,1.163,-0.606,0.259,NaN,NaN,NaN,NaN,NaN,NaN
1850,9,-0.619,0.817,-0.645,0.273,NaN,NaN,NaN,NaN,NaN,NaN
1850,10,-1.12,0.908,-0.629,0.275,NaN,NaN,NaN,NaN,NaN,NaN
1850,11,-0.959,1.237,-0.592,0.296,NaN,NaN,NaN,NaN,NaN,NaN
1850,12,-0.237,0.922,-0.616,0.325,NaN,NaN,NaN,NaN,NaN,NaN
1851,1,-0.166,0.749,-0.597,0.304,NaN,NaN,NaN,NaN,NaN,NaN
1851,2,-0.648,1.132,-0.602,0.281,NaN,NaN,NaN,NaN,NaN,NaN
1851,3,-0.735,0.971,-0.614,0.329,NaN,NaN,NaN,NaN,NaN,NaN
1851,4,-0.636,1.188,-0.577,0.331,NaN,NaN,NaN,NaN,NaN,NaN
1851,5,-0.582,1.028,-0.582,0.336,NaN,NaN,NaN,NaN,NaN,NaN
1851,6,-0.722,1.159,-0.603,0.4,NaN,NaN,NaN,NaN,NaN,NaN
1851,7,-0.307,1.114,-0.616,0.457,NaN,NaN,NaN,NaN,NaN,NaN
1851,8,-0.498,0.763,-0.643,0.522,NaN,NaN,NaN,NaN,NaN,NaN
1851,9,-0.762,1.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1851,10,-0.675,1.654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1851,11,-1.01,1.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1851,12,-0.5,1.243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
